movie_name,year,link,imdb_id,imdb_name,imdb_year
Live and Let Die,1973,dvd/Live-and-Let-Die/,tt0070328,Vivre et laisser mourir (1973),1973
The Living Daylights,1987,blu-ray/The-Living-Daylights/,tt0093428,Tuer n'est pas jouer (1987),1987
Logan's Run,1976,blu-ray/Logans-Run/,tt0074812,L'Âge de cristal (1976),1976
Lolita,1997,blu-ray/Lolita/,tt0119558,Lolita (1997),1997
Long Weekend,1978,dvd/Long-Weekend/,tt0079482,Long Weekend (1978),1978
The Lord of the Rings: The Return of the King,2003,blu-ray/The-Lord-of-the-Rings-The-Return-of-the-King/,tt0167260,Le Seigneur des anneaux : Le Retour du roi (2003),2003
Lost River,2014,blu-ray/Lost-River/,tt2366608,Lost River (2014),2014
Love,2015,blu-ray/Love/,tt3774694,Love (2015),2015
Malena,2000,blu-ray/Malena/,tt0213847,Malèna (2000),2000
The Man with the Golden Gun,1974,dvd/The-Man-With-the-Golden-Gun/,tt0071807,L'homme au pistolet d'or (1974),1974
Mandy,2018,blu-ray/Mandy/,tt6998518,Mandy (2018),2018
Marie Antoinette,2006,dvd/Marie-Antoinette/,tt0422720,Marie Antoinette (2006),2006
The Martian,2015,blu-ray/The-Martian/,tt3659388,Seul sur Mars (2015),2015
The Matrix,1999,blu-ray/The-Matrix/,tt0133093,Matrix (1999),1999
Maurice,1987,dvd/Maurice/,tt0093512,Maurice (1987),1987
Maverick,1994,dvd/Maverick/,tt0110478,Maverick (1994),1994
Melancholia,2011,blu-ray/Melancholia/,tt1527186,Melancholia (2011),2011
Memoirs of a Geisha,2005,dvd/Memoirs-of-a-Geisha/,tt0397535,Mémoires d'une geisha (2005),2005
Memories of Matsuko,2006,blu-ray/Memories-of-Matsuko/,tt0768120,Memories of Matsuko (2006),2006
Midnight Cowboy,1969,dvd/Midnight-Cowboy/,tt0064665,Macadam cowboy (1969),1969
Midnight Express,1978,dvd/Midnight-Express/,tt0077928,Midnight Express (1978),1978
The Midnight Sky,2020,blu-ray/The-Midnight-Sky/,tt10539608,Minuit dans l'univers (2020),2020
Midsommar,2019,blu-ray/Midsommar/,tt8772262,Midsommar (2019),2019
Milk,2008,blu-ray/Milk/,tt1013753,Harvey Milk (I) (2008),2008
Mirror,1975,blu-ray/Mirror/,tt0072443,Le miroir (1975),1975
Mishima: A Life in Four Chapters,1985,blu-ray/Mishima-A-Life-in-Four-Chapters/,tt0089603,Mishima - une vie en quatre chapitres (1985),1985
Moonlight,2016,blu-ray/Moonlight/,tt4975722,Moonlight (I) (2016),2016
Moonraker,1979,dvd/Moonraker/,tt0079574,Moonraker (1979),1979
Moonrise Kingdom,2012,blu-ray/Moonrise-Kingdom/,tt1748122,Moonrise Kingdom (2012),2012
Mulan,2020,blu-ray/Mulan/,tt4566758,Mulan (2020),2020
Mulholland Falls,1996,dvd/Mulholland-Falls/,tt0117107,Les hommes de l'ombre (1996),1996
My Blueberry Nights,2007,blu-ray/My-Blueberry-Nights/,tt0765120,My Blueberry Nights (2007),2007
Nausicaä of the Valley of the Wind,1984,blu-ray/Nausicaa-of-the-Valley-of-the-Wind/,tt0087544,Nausicaä de la vallée du vent (1984),1984
The Neon Demon,2016,blu-ray/The-Neon-Demon/,tt1974419,The Neon Demon (2016),2016
Network,1976,dvd/Network/,tt0074958,Network - Main basse sur la TV (1976),1976
No Time to Die,2021,blu-ray/No-Time-to-Die/,tt2382320,Mourir peut attendre (2021),2021
Nostalgia,1983,blu-ray/Nostalgia/,tt0086022,Nostalghia (1983),1983
November,2017,blu-ray/November/,tt6164502,November (2017),2017
Oblivion,2013,blu-ray/Oblivion/,tt1483013,Oblivion (2013),2013
Octopussy,1983,dvd/Octopussy/,tt0086034,Octopussy (1983),1983
An Officer and a Gentleman,1982,dvd/An-Officer-and-a-Gentleman/,tt0084434,Officier et gentleman (1982),1982
Oldboy,2003,blu-ray/Oldboy/,tt0364569,Old Boy (2003),2003
On Her Majesty's Secret Service,1969,blu-ray/On-Her-Majestys-Secret-Service/,tt0064757,Au service secret de Sa Majesté (1969),1969
Once Upon a Time in America,1984,dvd/Once-Upon-a-Time-in-America/,tt0087843,Il était une fois en Amérique (1984),1984
Once Upon a Time… in Hollywood,2019,blu-ray/Once-Upon-a-Time-in-Hollywood/,tt7131622,Once Upon a Time... in Hollywood (2019),2019
Only God Forgives,2013,blu-ray/Only-God-Forgives/,tt1602613,Only God Forgives (2013),2013
Only Lovers Left Alive,2013,blu-ray/Only-Lovers-Left-Alive/,tt1714915,Only Lovers Left Alive (2013),2013
Paprika,2006,blu-ray/Paprika/,tt0851578,Paprika (2006),2006
Parasite,2019,blu-ray/Parasite/,tt6751668,Parasite (2019),2019
"Paris, Texas",1984,blu-ray/Paris-Texas/,tt0087884,"Paris, Texas (1984)",1984
The People vs. Larry Flynt,1996,dvd/The-People-vs-Larry-Flynt/,tt0117318,Larry Flynt (1996),1996
The Phantom of the Opera,2004,dvd/The-Phantom-of-the-Opera/,tt0293508,Le fantôme de l'opéra (2004),2004
Picnic at Hanging Rock,1975,dvd/Picnic-at-Hanging-Rock/,tt0073540,Pique-nique à Hanging Rock (1975),1975
Pink Floyd: The Wall,1982,blu-ray/Pink-Floyd-The-Wall/,tt0084503,Pink Floyd: The Wall (1982),1982
Pirates of the Caribbean: At World's End,2007,dvd/Pirates-of-the-Caribbean-At-Worlds-End/,tt0449088,Pirates des Caraïbes : Jusqu'au bout du monde (2007),2007
Pirates of the Caribbean: Dead Man's Chest,2006,dvd/Pirates-of-the-Caribbean-Dead-Mans-Chest/,tt0383574,Pirates des Caraïbes : Le secret du coffre maudit (2006),2006
Pirates of the Caribbean: The Curse of the Black Pearl,2003,dvd/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl/,tt0325980,Pirates des Caraïbes : La malédiction du Black Pearl (2003),2003
