track_id;artists;name;popularity;release_date;release_date_precision;speechiness;instrumentalness
3pWBtajUyESxMhyxWD78zR;Alain Souchon;J'ai dix ans;47;1974-10-10;day;0.18;3.47e-06
1fk7PoBi3mEo7AhhAwQn5U;Les Rita Mitsouko;Marcia Baila;0;1984-04-01;day;0.0352;0.0
7wQEazOrLEHSCMo3gEuV88;Édith Piaf;Hymne à l'amour - Live;47;1986;year;0.0361;5.2e-05
7fxvGz4A606ADmsAGT5r4Q;Niagara;Je dois m'en aller;48;1986-01-01;day;0.0295;0.000944
3N9Vibj1SwLn4SRtWJVDVO;Julien Clerc;Ma préférence;56;1978-02-02;day;0.0253;0.000353
3D6GM9pxMGYLtUsLf6Yyyv;Véronique Sanson;Chanson sur ma drôle de vie;0;1972-12-08;day;0.0304;0.0
5cC9RZFMzrpbA9U1m4zSPm;Serge Gainsbourg;Je suis venu te dire que je m'en vais;55;1973-01-01;day;0.0364;0.51
20RHWjtCLr7ODGQEItdZXg;Patrick Bruel;Place des grands hommes;57;1989-10-16;day;0.0317;1.54e-06
6zW9AITRbwNwvSt293g2z8;Thierry Hazard;Le jerk;49;1990-11-23;day;0.0626;4.6e-05
0Yqvv7EV2VYgC299tA5ZaV;Jacques Brel;La valse à mille temps;52;1988-01-01;day;0.23;0.0
5izwKrQvhuctFsF0gn4sxA;Daniel Balavoine, Nanette Workman;Quand on arrive en ville - 2009 Remastered;0;1978-09-10;day;0.0782;0.0
1lzMEPWr0S8o0JMFCXdPoH;Claude François, Frédérique;Le téléphone pleure;36;1974-02-23;day;0.0522;0.0
17FC8RMy0rv1a2YZoKznt4;Daniel Balavoine;S.O.S. d'un terrien en détresse - 2009 Remastered;0;1978-09-10;day;0.0357;6.459999999999997e-05
3kPb76X7x5KmLT6CiTD94w;Claude Dubois;Le blues du businessman - 2009 Remastered;0;1978-09-10;day;0.0324;4.26e-06
5luRZTz2yOuL4J1SwofdKA;Fabienne Thibeault;Le monde est stone (Starmania);38;1998-05-28;day;0.0303;0.00396
2c9VhnEDAOWA5iDwgHhAvk;Fabienne Thibeault;Complainte de la serveuse automate - 2009 Remastered;0;1978-09-10;day;0.0303;0.0
3MUXYpwxeIucDKsFDiq0WA;France Gall;Monopolis - 2009 Remastered;0;1978-09-10;day;0.0313;0.00521
1nPODAcFuSBDfMHsRUBsqT;Fabienne Thibeault;Un garçon pas comme les autres - 2009 Remastered;0;1978-09-10;day;0.0361;0.0
5ewNawnXan4eZYGQrzzYKC;Eric Estève;La chanson de Ziggy - 2009 Remastered;0;1978-09-10;day;0.0643;0.0473
02hp42C2OkoJEb9KQPloc5;Daniel Balavoine;Banlieue nord - 2009 Remastered;0;1978-09-10;day;0.0299;2.6e-05
3AEt9mb4b6h8Hk0gMgOcsy;Nanette Workman;Ce soir on danse à Naziland - 2009 Remastered;0;1978-09-10;day;0.0379;0.00481
59hpgd2a7rSGjZHBxVfsKC;Fabienne Thibeault;Les uns contre les autres - 2009 Remastered;0;1978-09-10;day;0.0272;2.01e-05
2VL2i7ItI4VpsjftUmzY8J;France Gall, Daniel Balavoine;Quand on n'a plus rien à perdre - 2009 Remastered;0;1978-09-10;day;0.0361;0.000182
3bK6NQJlRJ7Uy7FASqvNbF;France Gall;Besoin d'amour - 2009 Remastered;0;1978-09-10;day;0.03;0.0375
4VXKFmBc2bDHA9kcRN8iWz;Renaud, Axelle Red;Manhattan-Kaboul;0;2002-11-08;day;0.0257;6.55e-06
3yOaL1e5FtOjUU7FAJjKpG;Téléphone;Ça c'est vraiment toi - Remasterisé en 2006;51;2006-11-17;day;0.0661;8.51e-06
11FBMKhiuYT4doKhC4p3i6;Claude François;Comme d'habitude;53;1993-01-01;day;0.0297;1.01e-06
3cXteS7JTe3VtA8OIoWwAb;Michel Sardou;Être une femme;54;2004-01-01;day;0.084;0.0
38mYs9bzJ01JAaTSGGPwm7;Niagara;Pendant que les champs brûlent;52;1990-01-01;day;0.0317;0.00094
17jqKcsnznw38YtAiGG3S5;Pierre Bachelet;Elle est d'ailleurs;36;1997-07-22;day;0.0315;0.0
10RFJqzKXALzpxH4rvwovn;Garou, Céline Dion;Sous le vent;49;2005-10-04;day;0.0389;0.0
196fYCjVMKAQb8uwOWxpUo;Jacques Dutronc;J'aime les filles;50;2004-01-07;day;0.0362;1.31e-06
2EdsD7nEloe5ynu6zlaUqI;Patrick Coutin;J'aime regarder les filles;43;2009-05-26;day;0.0421;9.8e-05
1bIupoWqwPhmPbXekHD5QR;Pierre Bachelet;Les corons;50;1982-06-01;day;0.0327;0.0
6drMFfp3JXylwgJNWaFhKv;Céline Dion, Jean-Jacques Goldman;J'irai ou tu iras - Live à Paris;36;2005-10-04;day;0.0878;2.07e-06
0NpJ5Ieoa0z5GV38yEtKLM;Jean-Jacques Goldman;Elle a fait un bébé toute seule;0;2015-05-18;day;0.0331;7.42e-06
4DOPV2Os7S3jI0bOGtQIyE;Tubes français 80;Encore un matin;19;2018-09-27;day;0.0573;0.0
2flivK5ivlprHRE7YNcRrj;Michel Sardou;La maladie d'amour;53;2004-01-01;day;0.0295;0.00106
1lX3n0sFJBoTiApKqGV07p;Daniel Balavoine;Aimer est plus fort que d'être aimé;2;1985-01-01;day;0.0289999999999999;0.0004639999999999
7asKyL4JYetWwPmaF2icAA;William Sheller;Rock'N'Dollars;33;2003-01-01;day;0.0344;0.0
1w8nwRqc2ZNMCE07vTbQNH;Michel Sardou;En chantant;0;2004-01-01;day;0.042;1.66e-06
4MTCNjhonKLRb8WIHpTTy8;François Feldman;Les valses de Vienne;0;1998-01-01;day;0.0409999999999999;0.0
1jqRhit50JNcJ8Rs30mJvt;Gilbert Bécaud;Nathalie;41;1996;year;0.111;0.0
194uD6fRM58ztn7Z1Mfyr2;Édith Piaf;Padam padam;54;1987-10-31;day;0.0546;0.0
1iLNbgBClMeawJzYSxc4K7;Brigitte Bardot;Harley Davidson;33;1999-01-01;day;0.0873;9.77e-05
3mmy0hmZ2xLV7EOdrUA8Ai;Les Rita Mitsouko;Les histoires d'a;42;1986-09-01;day;0.0287;0.0
6eUOHLGBdORvqW49t4zcX4;Sylvie Vartan;Quand tu es là;16;1999-10-17;day;0.0359;0.0
4ciRwt5dGHKKm8Et8r1xJ0;Charles Aznavour;Hier encore;60;1964;year;0.0502;0.0
6UkDJ8X2sdfCRaQpLgwHXf;Johnny Hallyday;Que je t'aime;46;2013-01-01;day;0.0441;1.96e-05
4ci1FpTYDsWGEww9cHm9sN;Dalida;Il venait d'avoir 18 ans - French Version;47;1997-01-01;day;0.0289999999999999;0.0
6IgZ9zDxJ6H0IUQ6HKBa8A;Hugues Aufray;Céline;48;1990-01-01;day;0.0295;8.18e-06
0e3J7BxEO608VEaQ5aZNoU;Barbara;L'aigle noir;52;1997-01-01;day;0.0552;0.000168
6SsQ4eeyzgJirHaWABOK9Q;Charles Aznavour;Désormais;45;1969;year;0.0448;0.0
69bgkzNHwmuLwlxUu6PVTI;Jean-Jacques Goldman;Veiller tard;37;1982-09-27;day;0.0362;3.57e-06
1UZGVlCoNGQ6ps64QDvydQ;Patricia Kaas;Mon mec à moi;50;1988-01-01;day;0.0443;0.0
6vjDUJqVKU9Ws7AIHBCAv9;Patricia Kaas;Mademoiselle chante le blues;46;1988-01-01;day;0.0613;0.0
6zlMAsPgiG81sZzsYVFwL3;Charles Trenet;Douce France;52;1992;year;0.0452;0.0103
1cbEUq5Rwe9LLFQyPKxurl;Michel Delpech;Le chasseur;53;2006-01-01;day;0.0277;0.0
0m6Tb3SwFzaEV5PcE2avp4;Dalida;Le temps des fleurs;50;1991-01-01;day;0.0276;0.0
6rqUOLt9dpfMANLMKTzoWj;Françoise Hardy;Le temps de l'amour - Fox Medium;61;1962-06-30;day;0.0336;0.0
6lanWfRq2R0gxKRPI3CDRb;Françoise Hardy;Message personnel - Remasterisé en 2013;52;1973-11-24;day;0.0367;0.0731
1rkSXEdbgPZj5uBurEStCM;Jacques Brel;Amsterdam;0;2004-09-21;day;0.185;0.0
0aWA84zzPPadF7I0N9tSRb;Patrick Juvet;Où sont les femmes;46;1977;year;0.0456;0.0389
3YedumgdhKXi5MRAvvzNP2;Jean-Jacques Goldman;Il changeait la vie;50;1987-11-04;day;0.0436;0.000388
0p4jqsbnUDwm2hBzDqpUJo;Maxime Le Forestier;San Francisco;0;1972;year;0.0509;0.0
5gCa2LstbM3A7wtQqgMiBk;Patrick Bruel;Qui a le droit;37;2007-11-23;day;0.0279999999999999;0.0005549999999999
40djPrkPr9FBZ8gLdUpllO;France Gall;Laisse tomber les filles;55;2020-05-15;day;0.0316;0.0
3AblcihgitRi0HdsWVWCbm;Journey;Just the Same Way - Live at The Forum in Montreal, Quebec, Canada, August 1980;23;1981-01-30;day;0.0434;0.0011099999999999
4yugZvBYaoREkJKtbG08Qr;Eagles;Take It Easy - 2013 Remaster;78;1972;year;0.0318;4.95e-06
5MMnwYs0hIxkENRsbkWJ2G;Deep Purple;Smoke On The Water - Remastered 2012;74;1972-03-25;day;0.0279;0.225
51pQ7vY7WXzxskwloaeqyj;Led Zeppelin;Stairway to Heaven - 1990 Remaster;67;1971-11-08;day;0.0339;0.00674
5C0LFQARavkPpn7JgA4sLk;The Police;Every Breath You Take - Remastered 2003;2;1983-06-01;day;0.0348;0.00294
4kAJawkLZj4Q7N5521ofP6;U2;With Or Without You - Remastered;0;1987-03-10;day;0.0295;0.309
2zYzyRzz6pRmhPzyfMEC8s;AC/DC;Highway to Hell;83;1979-07-27;day;0.133;0.00158
2ZSCy3P1QzpJySCWA6NRIU;KISS;I Was Made For Lovin' You;0;1979-03-23;day;0.038;7.45e-05
5Tyingwf7ItW5WYIoFlBHy;Twisted Sister;We're Not Gonna Take It (Remastered Album Version);0;2009-06-29;day;0.0428;0.000131
3k58VAgUkM9cSvRpjIVaC7;Whitesnake;Is This Love - 2007 Remastered Version;0;1987-04-04;day;0.0488;0.0
4GHnqtInKOFZUegS1FtXcr;Cinderella;Don't Know What You Got (Till It's Gone);0;1988-01-01;day;0.0287;0.000247
3LTMnFa0hhwisyq6ILahyj;Dire Straits;Sultans Of Swing;1;1978-10-07;day;0.0309;0.0248
5T8EDUDqKcs6OSOwEsfqG7;Queen;Don't Stop Me Now - Remastered 2011;81;1978-11-10;day;0.17;0.000176
0c1gHntWjKD7QShC8s99sq;Aerosmith;"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""";5;1998-08-18;day;0.0345;0.0
7N3PAbqfTjSEU1edb2tY8j;Van Halen;Jump - 2015 Remaster;79;1984-01-04;day;0.0317;0.000377
70YvYr2hGlS01bKRIho1HM;ZZ Top;La Grange - 2005 Remaster;76;1973-07-26;day;0.2239999999999999;0.0304
4CJVkjo5WpmUAKp3R44LNb;Lynyrd Skynyrd;Sweet Home Alabama;20;1974-04-15;day;0.0255;0.000331
7o2CTH4ctstm8TNelqjb51;Guns N' Roses;Sweet Child O' Mine;81;1987-07-21;day;0.0448;0.0996
7GonnnalI2s19OCQO1J7Tf;Mötley Crüe;Kickstart My Heart;76;1989;year;0.303;0.00236
0qgrrDnUUhyxpxbBznUnzg;Skid Row;18 and Life;69;1989-01-24;day;0.0279999999999999;1.49e-05
43GS3mtezoIFiuIZCLLiDY;Poison;Every Rose Has Its Thorn - Remastered 2003;72;1988-03-21;day;0.0323;1.12e-05
6FBmHx1FuaSnTnnnaThgbF;Quiet Riot;Cum on Feel the Noize;66;1996;year;0.115;0.00328
0Yi128S6QgQDnAKg5A0OZw;Mr. Big;To Be With You;0;2000;year;0.0419;0.0
2374M0fQpWi3dLnB54qaLX;TOTO;Africa;83;1982-04-08;day;0.0323;8.01e-05
0KMGxYKeUzK9wc5DZCt3HT;Chicago;If You Leave Me Now;75;1976-06-14;day;0.0268;0.000828
7Dbg5O9nNWu6SWxDjJ9qoq;Phil Collins;In The Air Tonight;0;1981-01-01;day;0.0265;6.23e-06
