artist_id;name;popularity;genres
0yN7xI1blow9nYIK0R8nM7;Buckcherry;61;['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'rock', 'sleaze rock']
1pRaG81GsVtaTBuVSpldt2;Pop Evil;65;['alternative metal', 'nu metal', 'post-grunge', 'rap rock']
1ZjAT2nTrzDIXFfsQ2hWJk;Adelitas Way;61;['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']
3koiLjNrgRTNbOwViDipeA;Marvin Gaye;78;['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']
7G1GBhoKtEPnP86X2PvEYO;Nina Simone;73;['adult standards', 'jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']
74ASZWbe4lXaubB36ztrGX;Bob Dylan;77;['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']
6379rD5bSEwInazkKhZ9DM;Diam's;59;['francoton', 'french hip hop', 'french pop', 'pop urbaine']
3WrFJ7ztbogyGnTHbHJFl2;The Beatles;89;['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']
462T0buQ5ScBUQCRpodDRf;Charles Bradley;60;['funk', 'soul']
1PryMSya1JnSAlcwYawCxp;Menahan Street Band;61;['afrobeat', 'brass band', 'funk', 'indie jazz', 'instrumental funk', 'soul']
1QsdzIKkTT5gDFj8GB1cIX;Yseult;58;['french indie pop', 'french indietronica', 'french pop', 'nouvelle chanson francaise']
4gzpq5DPGxSnKTe4SA8HAU;Coldplay;89;['permanent wave', 'pop']
0yNSzH5nZmHzeE2xn6Xshb;Calle 13;73;['latin', 'latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']
26BL0aeVS96sje8JfCNfUk;Totó La Momposina;56;['chicha', 'cumbia', 'folclor afrocolombiano', 'porro']
1DiaZsjdOzFCdk7Dw9KIs0;Susana Baca;53;['folklore peruano', 'musica afroperuana']
1C8UBSZs5rOPfxuxTMS6OI;Maria Rita;61;['bossa nova', 'mpb', 'nova mpb', 'pagode', 'samba']
2wpWOzQE5TpA0dVnh5YD08;Bronski Beat;62;['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']
7jmTilWYlKOuavFfmQAcu6;Barbra Streisand;69;['adult standards', 'mellow gold', 'soft rock']
5a2EaR3hamoenG9rDuVn8j;Prince;77;['funk', 'funk rock', 'minneapolis sound', 'motown', 'synth funk']
7C4sUpWGlTy7IANjruj02I;Peter Gabriel;68;['album rock', 'art pop', 'art rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'soft rock', 'symphonic rock']
3lKHlBiM6NdmkAOvlpoTyp;Berry;38;['nouvelle chanson francaise']
3Bd1cgCjtCI32PYvDC3ynO;London Grammar;75;['metropopolis', 'nottingham indie']
4XDJurjQCnWLlE7KLZCT9x;Samuel Barber;54;['american modern classical', 'classical']
4GQwgdcDQwqtcHICjUNndp;Sir Simon Rattle;66;['classical performance', 'orchestral performance']
